City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Moussoro,13.6408,16.4901,95.83,34,44,12.15,TD,1631971114
Kontagora,10.3999,5.4695,84.29,66,100,5.97,NG,1631971115
Faanui,-16.4833,-151.75,77.81,76,16,21.61,PF,1631971117
Tripoli,32.8752,13.1875,91.92,35,0,10.42,LY,1631970886
Kalmunai,7.4167,81.8167,83.41,75,78,7.81,LK,1631971118
Kapaa,22.0752,-159.319,75.18,78,95,1.01,US,1631970979
Namwala,-15.7504,26.4384,93.18,22,27,11.25,ZM,1631971119
Hobart,-42.8794,147.3294,46.26,71,75,5.01,AU,1631970885
Hong Kong,22.2855,114.1577,88.32,79,94,14.03,HK,1631970674
Punta Arenas,-53.15,-70.9167,37.51,93,40,4.61,CL,1631970930
Macusani,-14.0833,-70.4333,43.29,60,7,2.01,PE,1631971121
Zykovo,55.9519,93.1461,56.14,83,99,3.2,RU,1631971123
Hofn,64.2539,-15.2082,49.98,82,100,9.69,IS,1631971125
Petropavlovsk-Kamchatskiy,53.0452,158.6483,37.99,87,0,0.0,RU,1631971126
Kavarskas,55.4333,24.9167,45.46,72,100,16.17,LT,1631971127
Tiksi,71.6872,128.8694,35.26,78,100,15.17,RU,1631971010
Olinda,-8.0089,-34.8553,78.53,65,40,13.8,BR,1631971083
Kui Buri,12.0828,99.8543,80.49,82,42,4.5,TH,1631971129
Port Elizabeth,-33.918,25.5701,69.1,59,0,21.85,ZA,1631971129
Erenhot,43.6475,111.9767,72.93,29,100,9.33,CN,1631971132
Hünxe,51.65,6.7833,73.9,52,36,6.87,DE,1631971132
Podyuga,61.095,40.8647,43.07,64,100,6.04,RU,1631971135
Lüderitz,-26.6481,15.1594,62.29,66,28,18.16,NA,1631971136
Anadyr,64.75,177.4833,34.3,86,0,0.0,RU,1631971137
Haines Junction,60.7522,-137.5108,33.75,86,100,1.14,CA,1631971033
Ushuaia,-54.8,-68.3,37.06,81,20,0.0,AR,1631970875
Vaini,-21.2,-175.2,71.76,94,75,3.44,TO,1631970971
Port Macquarie,-31.4333,152.9167,66.16,54,100,8.28,AU,1631970841
Ixtapa,20.7,-105.2,75.22,100,1,3.44,MX,1631971140
Portland,45.5234,-122.6762,58.86,94,90,4.0,US,1631970756
Butaritari,3.0707,172.7902,82.4,75,1,17.2,KI,1631970903
Castro,-24.7911,-50.0119,73.36,60,1,2.86,BR,1631970870
